# word	zipf
winner	4.80
arrived	4.79
bag	4.79
bet	4.79
camp	4.79
cast	4.79
christ	4.79
continues	4.79
correct	4.79
dangerous	4.79
extremely	4.79
firm	4.79
greatest	4.79
handle	4.79
improve	4.79
indeed	4.79
leaves	4.79
movies	4.79
negative	4.79
prevent	4.79
removed	4.79
richard	4.79
spirit	4.79
television	4.79
till	4.79
trouble	4.79
usa	4.79
videos	4.79
advantage	4.78
apart	4.78
aware	4.78
cat	4.78
customers	4.78
decide	4.78
dinner	4.78
dollars	4.78
eastern	4.78
fifth	4.78
function	4.78
gift	4.78
helping	4.78
herself	4.78
impossible	4.78
influence	4.78
items	4.78
joe	4.78
los	4.78
marketing	4.78
mary	4.78
materials	4.78
nor	4.78
produce	4.78
progress	4.78
proud	4.78
require	4.78
shooting	4.78
shut	4.78
standards	4.78
tells	4.78
thinks	4.78
van	4.78
wood	4.78
background	4.77
birth	4.77
bridge	4.77
carried	4.77
charles	4.77
classes	4.77
completed	4.77
concept	4.77
copy	4.77
dear	4.77
dogs	4.77
drugs	4.77
efforts	4.77
garden	4.77
host	4.77
housing	4.77
inc	4.77
israel	4.77
journal	4.77
labor	4.77
leadership	4.77
length	4.77
lucky	4.77
neither	4.77
onto	4.77
patient	4.77
possibly	4.77
prove	4.77
rare	4.77
setting	4.77
skills	4.77
software	4.77
thousands	4.77
tough	4.77
units	4.77
alive	4.76
apple	4.76
balance	4.76
birthday	4.76
bitch	4.76
boss	4.76
cards	4.76
changing	4.76
connection	4.76
dress	4.76
easier	4.76
fellow	4.76
florida	4.76
horse	4.76
knowing	4.76
liked	4.76
magic	4.76
managed	4.76
map	4.76
net	4.76
owned	4.76
request	4.76
stick	4.76
turns	4.76
vehicle	4.76
volume	4.76
wake	4.76
aid	4.75
beauty	4.75
believed	4.75
billion	4.75
busy	4.75
buying	4.75
cells	4.75
concerned	4.75
conversation	4.75
corner	4.75
criminal	4.75
cultural	4.75
develop	4.75
driver	4.75
ends	4.75
existing	4.75
farm	4.75
file	4.75
fix	4.75
fly	4.75
frank	4.75
guide	4.75
images	4.75
investigation	4.75
mexico	4.75
operating	4.75
paying	4.75
presented	4.75
raise	4.75
responsibility	4.75
roll	4.75
slightly	4.75
suggest	4.75
surprise	4.75
technical	4.75
thoughts	4.75
treat	4.75
unique	4.75
variety	4.75
violence	4.75
weapons	4.75
yours	4.75
youth	4.75
appreciate	4.74
bigger	4.74
breaking	4.74
discovered	4.74
dont	4.74
dry	4.74
edge	4.74
evil	4.74
excited	4.74
forever	4.74
funds	4.74
helps	4.74
henry	4.74
injury	4.74
iron	4.74
lovely	4.74
mad	4.74
magazine	4.74
martin	4.74
models	4.74
offers	4.74
ordered	4.74
parliament	4.74
prepared	4.74
reference	4.74
religion	4.74
sites	4.74
somewhere	4.74
stated	4.74
strategy	4.74
teachers	4.74
web	4.74
wine	4.74
accounts	4.73
angeles	4.73
arm	4.73
audience	4.73
bay	4.73
blog	4.73
closer	4.73
core	4.73
democratic	4.73
description	4.73
dropped	4.73
excellent	4.73
exist	4.73
figures	4.73
forms	4.73
guard	4.73
honest	4.73
issued	4.73
joined	4.73
jones	4.73
lee	4.73
lies	4.73
likes	4.73
medicine	4.73
mention	4.73
mountain	4.73
nuclear	4.73
orders	4.73
port	4.73
presence	4.73
reaction	4.73
reduce	4.73
shoot	4.73
sides	4.73
solid	4.73
spanish	4.73
sport	4.73
steps	4.73
stress	4.73
taste	4.73
tea	4.73
victory	4.73
afternoon	4.72
assistant	4.72
britain	4.72
citizens	4.72
classic	4.72
clothes	4.72
decisions	4.72
electric	4.72
emergency	4.72
entered	4.72
entirely	4.72
facts	4.72
failure	4.72
festival	4.72
flat	4.72
fuel	4.72
harry	4.72
hello	4.72
houses	4.72
ill	4.72
initial	4.72
introduced	4.72
johnson	4.72
kick	4.72
links	4.72
mail	4.72
massive	4.72
matters	4.72
pair	4.72
picked	4.72
pieces	4.72
plane	4.72
plenty	4.72
prince	4.72
proper	4.72
providing	4.72
quarter	4.72
regional	4.72
scott	4.72
session	4.72
shape	4.72
sky	4.72
teaching	4.72
toward	4.72
transfer	4.72
upper	4.72
useful	4.72
valley	4.72
watched	4.72
willing	4.72
windows	4.72
zone	4.72
accident	4.71
advanced	4.71
alternative	4.71
anywhere	4.71
articles	4.71
awards	4.71
bear	4.71
boat	4.71
bringing	4.71
capacity	4.71
cheap	4.71
climate	4.71
communities	4.71
discussion	4.71
drinking	4.71
duty	4.71
fantastic	4.71
feelings	4.71
flying	4.71
governor	4.71
hundred	4.71
industrial	4.71
joint	4.71
mix	4.71
museum	4.71
options	4.71
path	4.71
plants	4.71
policies	4.71
promise	4.71
proposed	4.71
purchase	4.71
rain	4.71
remove	4.71
signs	4.71
spending	4.71
steel	4.71
steve	4.71
supporting	4.71
terrible	4.71
tired	4.71
treated	4.71
turning	4.71
vice	4.71
warm	4.71
afraid	4.70
arts	4.70
beer	4.70
border	4.70
canadian	4.70
command	4.70
crew	4.70
crowd	4.70
dating	4.70
dick	4.70
elements	4.70
enemy	4.70
ensure	4.70
environmental	4.70
filled	4.70
fixed	4.70
forest	4.70
intelligence	4.70
intended	4.70
labour	4.70
limit	4.70
moon	4.70
ocean	4.70
powers	4.70
profit	4.70
proof	4.70
republican	4.70
soldiers	4.70
suit	4.70
wins	4.70
appearance	4.69
asian	4.69
attorney	4.69
banks	4.69
behavior	4.69
ben	4.69
bodies	4.69
brothers	4.69
buildings	4.69
chair	4.69
creating	4.69
debt	4.69
domestic	4.69
expensive	4.69
grew	4.69
historical	4.69
homes	4.69
honestly	4.69
honor	4.69
jump	4.69
launch	4.69
listed	4.69
minimum	4.69
native	4.69
noted	4.69
originally	4.69
planned	4.69
ray	4.69
sets	4.69
suddenly	4.69
supreme	4.69
survey	4.69
tech	4.69
trees	4.69
update	4.69
user	4.69
writer	4.69
yellow	4.69
younger	4.69
ancient	4.68
attacks	4.68
charges	4.68
combined	4.68
communication	4.68
connected	4.68
contains	4.68
download	4.68
email	4.68
ending	4.68
exercise	4.68
express	4.68
flow	4.68
formed	4.68
girlfriend	4.68
hero	4.68
illegal	4.68
increasing	4.68
joke	4.68
loan	4.68
methods	4.68
officials	4.68
performed	4.68
planet	4.68
relationships	4.68
restaurant	4.68
scotland	4.68
selected	4.68
shared	4.68
shopping	4.68
soft	4.68
stuck	4.68
sugar	4.68
suggested	4.68
supported	4.68
surprised	4.68
taught	4.68
transport	4.68
